assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,4,116,25,25,2,88894,-1,1,-1,1,223.9,1,3,0.6,0.6,0,Ross,2.5,9,2,57.8,106,FALSE,148.8,494,Hamstring injury - 25% chance of playing,2020-11-21T17:30:18.042216Z,59,0,0,0,88894.jpg,4,0,0,Barkley,2.9,FALSE,,d,2,7,205,32,461638,128,300181,4660,0.4,5.4,Barkley,0
0,1,145,,,4,199796,0,0,0,0,68.2,0,2,1.5,1.5,0,Matthew,1.5,11,0,24.4,496,FALSE,147.4,685,,,50,0,0,0,199796.jpg,3.1,0,0,Cash,0.7,FALSE,,a,2,7,28,25,53991,215,35059,123,0.3,5,Cash,3
1,6,188,,,4,178301,0,0,1,-1,142.5,2,4,5.5,5.5,0,Ollie,5.5,11,6,75.6,514,FALSE,269.6,720,,,61,0,0,0,178301.jpg,6.1,0,0,Watkins,9.6,FALSE,,a,2,7,344,49,950928,3411,346504,2642,0.9,8,Watkins,0
1,0,34,100,100,0,110504,0,0,-1,1,41,0,3,1.5,1.5,0,Bertrand,1.5,5,0,13.3,540,FALSE,28.2,139,,2020-11-01T14:30:23.727526Z,59,0,0,0,110504.jpg,1.7,0,0,Traoré,0,FALSE,,a,2,7,64,10,6789,29,5779,14,0.3,1.7,Traoré,0
0,0,4,,,0,232653,0,0,0,0,0,0,3,0,0,0,Jacob,0,0,0,0,554,FALSE,0,13,,,45,0,0,0,232653.jpg,1,0,0,Ramsey,0.1,FALSE,,a,2,7,0,1,6598,37,4103,28,0,0.2,Ramsey,0
0,0,0,0,0,0,20529,0,0,-2,2,0,0,4,0,0,0,Glenn,0,0,0,0,53,FALSE,0,0,Joined Watford on loan until the end of the season on 1/9. - Expected back 01 Jul,2020-09-02T09:00:10.449975Z,48,0,0,0,20529.jpg,0,0,0,Murray,0.1,FALSE,,n,3,36,0,0,4624,5,16951,21,0,0,Murray,0
1,0,84,75,75,2,39155,0,0,-3,3,142,0,3,1.9,1.1,1,Adam,2.5,7,0,30.1,54,FALSE,60.8,523,Groin Injury - 75% chance of playing,2020-11-21T17:30:17.847293Z,62,0,0,0,39155.jpg,2,0,0,Lallana,0.4,FALSE,,d,3,36,101,20,11544,12,71990,189,0.4,3.2,Lallana,0
2,1,118,,,1,60307,0,0,-2,2,179.4,1,3,5.2,4.2,7,Pascal,5.2,6,1,34.9,57,FALSE,100.8,432,,,58,0,0,0,60307.jpg,2.9,0,0,Groß,0.1,FALSE,,a,3,36,68,26,3954,103,9958,31,0.9,4.5,Groß,0
0,0,0,0,0,0,61933,0,0,-1,1,0,0,2,0,0,0,Shane,0,0,0,0,58,FALSE,0,0,Joined Celtic on loan until the end of the season on 2/9. - Expected back 01 Jul,2020-09-02T09:00:10.465117Z,44,0,0,0,61933.jpg,0,0,0,Duffy,0,FALSE,,n,3,36,0,0,532,0,4956,9,0,0,Duffy,0
0,0,0,100,100,0,66242,0,0,-2,2,0,0,3,0,-1,0,Davy,0,0,0,0,59,FALSE,0,0,,2020-11-19T15:00:18.846932Z,48,0,0,0,66242.jpg,0,0,0,Pröpper,0,FALSE,,a,3,36,0,0,860,5,5365,5,0,0,Pröpper,0
0,0,0,0,0,0,74471,0,0,0,0,0,0,3,0,0,0,Aaron,0,0,0,0,60,FALSE,0,0,Joined Shanghai SIPG on a permanent deal on 28/8,2020-08-29T10:00:06.731343Z,50,0,0,0,74471.jpg,0,0,0,Mooy,0,FALSE,,u,3,36,0,0,9935,0,11087,3,0,0,Mooy,0
0,0,59,,,1,78916,0,0,-2,2,26.6,0,2,1.8,0.8,0,Dan,1.8,4,0,9.9,61,FALSE,42.8,393,,,43,0,0,0,78916.jpg,2,0,0,Burn,0.4,FALSE,,a,3,36,29,12,7915,55,34560,70,0.4,2.8,Burn,1
0,1,98,100,100,1,83299,0,0,-2,2,17.3,0,2,1,0,2,Lewis,1,13,0,13.6,62,FALSE,80.2,630,,2020-10-18T15:00:19.802843Z,48,1,0,0,83299.jpg,1.3,1,0,Dunk,2.7,FALSE,,a,3,36,38,9,63922,170,445661,268,0.2,1.9,Dunk,1
0,0,0,0,0,0,86153,0,0,0,0,0,0,2,0,0,0,Martín,0,0,0,0,63,FALSE,0,0,Joined Real Betis on a permanent deal on 25/8,2020-08-25T16:00:07.591453Z,45,0,0,0,86153.jpg,0,0,0,Montoya,0,FALSE,,u,3,36,0,0,168,0,914,0,0,0,Montoya,0
0,0,0,0,0,0,93284,0,0,-2,2,0,0,4,0,0,0,Florin,0,0,0,0,64,FALSE,0,0,Knee injury - Unknown return date,2020-09-12T09:00:10.364918Z,48,0,0,0,93284.jpg,0,0,0,Andone,0.1,FALSE,,i,3,36,0,0,11514,4,28447,16,0,0,Andone,0
1,4,153,100,75,2,109345,0,0,0,0,159.4,1,3,3.2,1.7,2,Solomon,3.2,14,2,47.4,65,FALSE,177.2,750,,2020-11-26T14:00:20.548223Z,50,0,0,0,109345.jpg,4.1,0,0,March,1,FALSE,,a,3,36,137,37,155144,432,93317,648,0.6,7.4,March,0
0,0,134,,,2,110735,0,0,-1,1,38.3,0,2,2.8,1.8,2,Adam,2.8,16,0,25.5,66,FALSE,115.6,900,,,44,0,0,0,110735.jpg,2.2,0,0,Webster,1.7,FALSE,,a,3,36,101,22,49300,120,118064,192,0.6,5,Webster,1
0,3,87,,,1,111478,0,0,-2,2,47.3,1,2,3,2,1,Joël,3,7,0,14.2,67,FALSE,88.6,442,,,43,0,0,0,111478.jpg,2.3,0,0,Veltman,0.4,FALSE,,a,3,36,4,14,26373,307,24717,130,0.7,3.3,Veltman,1
1,5,129,75,,2,115382,0,0,-2,2,86.1,1,4,0.6,-0.2,-1,Neal,0.8,13,4,65.6,68,FALSE,187.2,734,Hamstring injury - 75% chance of playing,2020-11-28T15:00:19.358197Z,63,0,1,0,115382.jpg,4.3,0,0,Maupay,3.2,FALSE,,d,3,36,386,39,607511,180,548478,4855,0.1,6.2,Maupay,0
2,1,85,100,100,2,116216,0,0,0,0,155,0,3,1,0,2,Leandro,1,14,1,37.8,69,FALSE,85.6,652,,2020-11-07T00:00:21.373051Z,60,0,0,0,116216.jpg,3.6,0,0,Trossard,1,FALSE,,a,3,36,139,29,245815,129,231341,433,0.2,4.8,Trossard,1
0,0,129,,,2,131897,0,0,0,0,0.3,0,1,2.8,1.8,2,Mathew,2.8,14,0,8.2,70,FALSE,82.2,810,,,45,0,0,0,131897.jpg,2.4,0,12,Ryan,13.2,FALSE,,a,3,36,0,22,363695,400,618732,1243,0.6,4.9,Ryan,1
1,0,36,100,100,0,165210,0,0,-1,1,42.8,0,3,0.5,-0.5,1,Alireza,0.5,1,0,10.3,71,FALSE,32.6,54,,2020-09-30T21:00:17.370674Z,54,0,0,0,165210.jpg,1.4,0,0,Jahanbakhsh,0,FALSE,,a,3,36,28,7,1226,5,3586,3,0.1,1.3,Jahanbakhsh,1
